2024/10/13 17:56:35 [notice] 7#7: using the "epoll" event method
2024/10/13 17:56:35 [notice] 7#7: nginx/1.27.2
2024/10/13 17:56:35 [notice] 7#7: built by gcc 12.2.0 (Debian 12.2.0-14) 
2024/10/13 17:56:35 [notice] 7#7: OS: Linux 6.10.4-linuxkit
2024/10/13 17:56:35 [notice] 7#7: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/10/13 17:56:35 [notice] 7#7: start worker processes
2024/10/13 17:56:35 [notice] 7#7: start worker process 8
2024/10/13 17:56:35 [notice] 7#7: start worker process 9
2024/10/13 17:56:35 [notice] 7#7: start worker process 10
2024/10/13 17:56:35 [notice] 7#7: start worker process 11
2024/10/13 17:56:35 [notice] 7#7: start worker process 12
2024/10/13 17:56:35 [notice] 7#7: start worker process 13
2024/10/13 17:56:35 [notice] 7#7: start worker process 14
2024/10/13 17:56:35 [notice] 7#7: start worker process 15
2024/10/13 17:56:35 [notice] 7#7: start worker process 16
2024/10/13 17:56:35 [notice] 7#7: start worker process 17
2024/10/13 17:56:35 [notice] 7#7: start worker process 18
2024/10/13 17:56:35 [notice] 7#7: start worker process 19
2024/10/13 17:56:35 [notice] 7#7: start worker process 20
2024/10/13 17:56:35 [notice] 7#7: start worker process 21
